PAREJA,Partner1,Partner2,Tanguito Cejas,Ricky Barrios,Facundo Piñeiro,Virginia Pandolfi,Laila Rezk,Silvia Alonso,PROMEDIO
407,Sebastian Bolivar,Cynthia Palacios,8.300,9.000,9.000,9.000,8.750,8.900,8.825
476,Leonel Mendieta,Natalia Hassan,8.400,8.750,9.000,8.600,9.000,8.800,8.758
471,Diego Ortega,Aldana Silveyra,8.000,8.600,8.800,8.900,9.000,9.000,8.717
42,Agustin Rojas,Victoria Olivella,8.300,8.900,9.000,8.500,8.600,7.900,8.533
115,Carlos Javier Estigarribia,Dana Zampieri,8.550,8.950,8.200,8.700,7.750,8.900,8.508
490,Ariel Taritolay,Ornella Simonetto,8.400,8.550,8.300,8.400,8.400,8.900,8.492
104,Maxi Copello,Raquel Makow,8.350,7.800,9.000,8.500,8.400,8.700,8.458
176,Cristian Correa,Miriam Copello,8.300,8.500,8.450,8.000,8.600,8.800,8.442
155,Luis Romero Berruti,Ana Clara Migoni,8.400,7.900,8.200,8.300,8.900,8.900,8.433
543,Ferrol Matthew Poluan,Muliany Rambe,8.400,7.700,9.000,8.500,8.150,8.800,8.425
555,Jeannette Erazu,Max Vera,7.900,8.300,7.900,8.300,9.000,9.000,8.400
481,Juan Carlos Amaya,Valentina Garnier,8.400,8.600,8.200,8.300,8.000,8.900,8.400
269,Dmitriy Kuznetsov,Olga Nikolaeva,7.950,8.200,8.100,8.600,8.800,8.700,8.392
493,Carlos Santos David,Mirella Santos David,8.550,8.300,8.200,8.000,8.900,8.200,8.358
274,Erik Deslarmes,Nadia Aguilar,7.950,8.500,8.900,8.000,8.150,8.600,8.350
524,Maria Fernanda Vigliano,Maximiliano Javier Sosa,7.700,8.600,8.800,8.200,8.000,8.800,8.350
54,Diego López Tarazona,Ivonne Cardona Sosa,8.500,8.000,9.000,7.900,8.350,8.300,8.342
417,Jorge Andres Benvenutti,Laura Casco Zorzón,8.300,7.000,8.800,8.500,8.550,8.900,8.342
20,Maksim Akhmetzhanov,Ekaterina Kuznitsina,8.200,8.200,9.000,8.100,8.300,8.200,8.333
455,Rodrigo Ivan Videla,Marina Teves,8.350,8.700,8.000,8.000,8.200,8.700,8.325
102,Leonardo Salvador Guerra,Noelia Romina Andino,8.300,8.700,8.200,8.100,8.400,8.200,8.317
103,Ariel Manzanares,Daniela Barria,8.050,8.000,8.100,8.500,8.400,8.800,8.308
304,Frank Obregón,María José Garces,8.600,8.100,8.600,7.900,7.800,8.800,8.300
521,Anahi Naomi Gonzalez,Santiago Julian Marolo,8.500,8.000,7.800,8.150,8.300,9.000,8.292
267,Alejandro Martin Luna,Brenda Dorfmuller,8.900,8.450,8.100,8.300,8.000,8.000,8.292
412,Jorge Padilla,Stefany Ortiz,8.250,7.700,8.800,8.000,8.700,8.200,8.275
133,Matteo Antonietti,Ravena Abdyli,8.150,7.800,8.800,8.500,8.500,7.900,8.275
241,Rodrigo Hector Verón,Celeste Noelia Mattia,7.950,7.700,8.500,8.500,9.000,8.000,8.275
550,Lili Tan,Gennysam de los Reyes Alcantara,8.000,7.500,9.000,8.600,8.000,8.500,8.267
22,Juliano Andrade,Paula Emerick,8.300,8.300,8.200,8.000,8.200,8.600,8.267
135,Facundo Berrios Valdez,Simin Ogur,7.950,8.400,9.000,8.000,7.700,8.400,8.242
41,Mikhail Efimov,Daria Pechatnikova,8.150,7.800,8.100,8.400,8.800,8.200,8.242
136,Andrés Felipe Martínez Cardona,Augusto Giraldo Villa,8.350,8.200,8.600,8.200,7.600,8.500,8.242
248,Juan Manuel Rosales,Liza Rosales,8.200,7.700,8.700,8.600,8.350,7.900,8.242
297,Alexander Sossa Benitez,Johanna Aranda,8.050,8.850,8.300,8.200,8.000,8.000,8.233
354,Matias Rivas,Romina Elizabeth Cordone,8.450,7.700,8.300,8.200,8.400,8.300,8.225
191,Ricardo Ariel Albornoz,Daniela Elizabeth Inglese,8.000,7.900,8.100,8.500,7.950,8.900,8.225
203,Lucas Robañera,Becky Navarro,8.350,8.200,8.000,7.900,8.000,8.900,8.225
315,Juan David Bedoya,Analía Centurión,8.450,7.700,8.100,8.200,8.650,8.200,8.217
280,Carlos Flores,Marcia Martinucci,7.900,7.950,8.900,8.000,8.000,8.500,8.208
243,Lucas Martin,Vicky Pesci,8.350,7.600,8.500,8.700,7.300,8.800,8.208
368,Mikhail Chudin,Elvira Chudina,8.000,8.300,7.800,8.600,8.400,8.100,8.200
350,Leonardo Pankow,Laísa Souza,8.200,8.100,8.200,8.500,8.300,7.900,8.200
537,Matías Gutierrez,Soledad Rubini,8.400,8.450,8.200,8.200,7.700,8.200,8.192
6,Andrey Prokopov,Olga Dunaeva,8.350,7.600,8.200,8.200,8.350,8.400,8.183
116,Julian Cataño,Natalia Castaño,8.100,8.400,8.000,8.300,8.100,8.200,8.183
300,Dario Martin Artunduaga,Beatriz Peralta,8.000,8.300,8.200,8.100,7.950,8.500,8.175
139,Norair Arakelian,Sofiya Seminskya,8.250,7.500,8.400,8.600,8.000,8.300,8.175
188,Camilo Bernal Varela,Mayi Yepes Arboleda,8.250,7.850,8.500,7.700,8.000,8.700,8.167
214,Facundo Argañaraz,Miriam Gutierrez,8.100,8.000,8.100,8.300,8.000,8.500,8.167
551,Lili Gorgodze,Artem Irzhevski,8.100,7.900,8.500,8.000,8.300,8.200,8.167
484,Lionel Espindola,Maria Rosalia Pereyra,8.150,8.000,8.100,8.600,7.950,8.200,8.167
45,Gonzalo Augusto Angeles De Soto,Nathalia Peña Muñoz,7.750,7.600,7.900,8.600,8.800,8.300,8.158
59,Raúl Ehijo,Ximena Santana,8.150,8.200,7.700,8.000,8.400,8.500,8.158
360,Otto Ignacio Honeker,Jorgelina Cohen,7.950,7.400,8.200,8.000,9.000,8.300,8.142
374,Cristian Miño,Michaela Böttinger,8.200,7.600,8.100,8.500,7.950,8.400,8.125
470,Alejandro Martin Ferreyra,Fernanda Gabriela Grosso,7.950,7.000,8.500,7.900,9.000,8.400,8.125
208,Luciano Paulino,Debora Ambrosano,7.950,8.500,8.000,8.000,8.300,8.000,8.125
101,Raúl Moure,Antonela Méndez,8.250,7.850,8.400,7.900,8.300,8.000,8.117
337,Sebastián Martínez,Ayelen Morando,8.300,7.700,7.800,8.000,9.000,7.900,8.117
410,Ramiro Andres Perez Caricchio,Evangelina Soledad Martinez,7.950,7.600,8.600,8.300,8.200,8.000,8.108
536,Marianella Michaud,Michael Thomas,8.400,7.800,7.900,8.200,8.300,8.000,8.100
217,Anna Brouver,Anton Sokoltchik,8.000,7.200,8.700,8.000,8.250,8.400,8.092
239,Juan Ignacio Braida,Daniela Pachame,8.150,8.000,8.000,7.900,8.500,8.000,8.092
393,Leonardo Adrián Beltrán,Maria Laura Gasparri,8.300,7.900,7.600,7.900,8.500,8.300,8.083
515,Luis Angel Rojas,Laura Velia de Lourdes Stessens,8.350,7.250,8.500,8.100,8.300,8.000,8.083
362,Francisco Coria,Yael Nahir Ferrarelli Fontanella,8.600,7.400,8.900,7.900,7.950,7.700,8.075
414,Andrés Rojas,Ana María Sandoval,7.950,7.600,8.750,7.800,8.000,8.300,8.067
529,Emanuel Avendaño,Marina Machado Riquelme,8.100,7.700,8.400,8.300,7.200,8.700,8.067
520,Angela Romina Cides,Esteban Adrian De Gregorio,8.200,7.700,8.200,7.800,8.500,8.000,8.067
387,Marcos Antonio Morinigo,Marcela Alejandra Subelza,8.200,7.700,8.200,8.400,8.000,7.900,8.067
99,Ezequiel Mendoza,Valeria Saavedra,8.400,7.950,8.100,7.900,7.500,8.500,8.058
140,Lucas Nicolás Cartagena,Lucila Inés Díaz Colodrero,8.050,8.500,7.800,8.000,7.500,8.500,8.058
38,Juan Ignacio Etcheverry,Veronica Beatriz Bachini,8.150,8.000,8.700,7.900,7.700,7.900,8.058
546,Magdalena Yrahola,Hector Colque,8.150,7.700,8.700,8.000,7.900,7.900,8.058
469,Dante Abel Culcuy,Veronica Elena Vazquez,8.300,7.950,7.800,8.000,8.000,8.300,8.058
131,Mario Sergio,Vanessa Jardim,7.850,7.850,8.200,8.150,8.400,7.900,8.058
403,Victor Cho,Candela Nuño,8.150,8.300,9.000,8.000,7.550,7.300,8.050
293,Daniel Lanceros,Macarena Marino,8.400,8.300,8.700,7.600,7.500,7.800,8.050
540,Caroline Calona,Nazareno Listur,8.300,8.200,7.800,8.000,7.760,8.200,8.043
53,Mauro Carabajal,Milena Hopkins,7.950,8.000,8.200,8.200,8.000,7.900,8.042
398,Luciano Millaqueo,Maria Celeste Cimino,8.700,8.300,7.600,7.900,7.600,8.100,8.033
402,Carlos Cisneros,Emma Lucia Reyes,8.550,7.200,7.600,7.800,8.150,8.800,8.017
123,Carlos Urrego,Maureen Muñoz,7.850,8.300,8.850,7.900,7.300,7.900,8.017
178,Mauro Alejandro Ramirez,Daniela Caterina Galarza Veron,8.050,8.000,7.800,8.200,8.150,7.900,8.017
539,Silvina Hirschfeld,Walter Schefer,8.200,7.400,7.900,8.000,7.950,8.600,8.008
229,Diego Churquina,Mariel Filadoro,8.450,7.000,7.700,7.700,8.600,8.600,8.008
8,Silas Adriazola,Anita Ponce,8.050,7.200,8.400,7.900,8.100,8.400,8.008
380,Krishna Olmedo,Valentina Massari,8.050,7.600,7.400,8.000,8.500,8.500,8.008
